case,cohort,uma,deck,base_seed,run,variant,rule_seed,score,skill_pt,rmj_ok,free_race_ok,friend_all,five,error
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,0,base,1594401168593035832,72130,8634,3,true,true,3337/2400/1249/1475/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,0,ptblend200,1594401168593035832,71921,8525,3,true,true,3337/2384/1377/1389/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,0,ptblend200-capd0-rgn1,1594401168593035832,71921,8525,3,true,true,3337/2384/1377/1389/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,0,ptblend200-capd0-rgn1-supermode3,1594401168593035832,71921,8525,3,true,true,3337/2384/1377/1389/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,0,ptblend200-capd0-rgn1-supermode1,1594401168593035832,71921,8525,3,true,true,3337/2384/1377/1389/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,1,base,745406983948346172,71442,8594,3,true,true,3337/2364/1350/1523/2374,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,1,ptblend200,745406983948346172,68752,8412,3,true,true,3337/2200/1435/1468/2215,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,1,ptblend200-capd0-rgn1,745406983948346172,68752,8412,3,true,true,3337/2200/1435/1468/2215,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,1,ptblend200-capd0-rgn1-supermode3,745406983948346172,68752,8412,3,true,true,3337/2200/1435/1468/2215,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,1,ptblend200-capd0-rgn1-supermode1,745406983948346172,68752,8412,3,true,true,3337/2200/1435/1468/2215,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,2,base,4220922372882779387,74009,9060,3,true,true,3337/2400/1519/1361/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,2,ptblend200,4220922372882779387,73298,9006,3,true,true,3337/2334/1552/1314/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,2,ptblend200-capd0-rgn1,4220922372882779387,73298,9006,3,true,true,3337/2334/1552/1314/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,2,ptblend200-capd0-rgn1-supermode3,4220922372882779387,73298,9006,3,true,true,3337/2334/1552/1314/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,2,ptblend200-capd0-rgn1-supermode1,4220922372882779387,73298,9006,3,true,true,3337/2334/1552/1314/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,3,base,7866697145657334802,65989,8222,3,true,true,3310/2195/1123/1398/2170,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,3,ptblend200,7866697145657334802,66972,8251,3,true,true,3337/2334/1226/1452/1984,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,3,ptblend200-capd0-rgn1,7866697145657334802,66972,8251,3,true,true,3337/2334/1226/1452/1984,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,3,ptblend200-capd0-rgn1-supermode3,7866697145657334802,66972,8251,3,true,true,3337/2334/1226/1452/1984,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,3,ptblend200-capd0-rgn1-supermode1,7866697145657334802,66972,8251,3,true,true,3337/2334/1226/1452/1984,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,4,base,201428827795581914,75551,9375,3,true,true,3337/2400/1654/1470/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,4,ptblend200,201428827795581914,75670,9365,3,true,true,3337/2400/1671/1470/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,4,ptblend200-capd0-rgn1,201428827795581914,75670,9365,3,true,true,3337/2400/1671/1470/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,4,ptblend200-capd0-rgn1-supermode3,201428827795581914,75670,9365,3,true,true,3337/2400/1671/1470/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,4,ptblend200-capd0-rgn1-supermode1,201428827795581914,75670,9365,3,true,true,3337/2400/1671/1470/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,5,base,12492954552756791432,68856,8993,3,true,true,3337/1950/1431/1166/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,5,ptblend200,12492954552756791432,67833,9058,3,true,true,3337/1783/1504/1092/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,5,ptblend200-capd0-rgn1,12492954552756791432,67833,9058,3,true,true,3337/1783/1504/1092/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,5,ptblend200-capd0-rgn1-supermode3,12492954552756791432,67833,9058,3,true,true,3337/1783/1504/1092/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,5,ptblend200-capd0-rgn1-supermode1,12492954552756791432,67833,9058,3,true,true,3337/1783/1504/1092/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,6,base,8995133169315058606,70512,8871,3,true,true,3337/2400/1441/1391/2155,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,6,ptblend200,8995133169315058606,70255,8876,3,true,true,3337/2400/1479/1387/2092,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,6,ptblend200-capd0-rgn1,8995133169315058606,70255,8876,3,true,true,3337/2400/1479/1387/2092,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,6,ptblend200-capd0-rgn1-supermode3,8995133169315058606,70255,8876,3,true,true,3337/2400/1479/1387/2092,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,6,ptblend200-capd0-rgn1-supermode1,8995133169315058606,70323,8748,3,true,true,3337/2400/1324/1408/2238,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,7,base,8379784151475158825,71582,8790,3,true,true,3337/2346/1540/1283/2337,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,7,ptblend200,8379784151475158825,70933,8835,3,true,true,3337/2274/1355/1246/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,7,ptblend200-capd0-rgn1,8379784151475158825,70933,8835,3,true,true,3337/2274/1355/1246/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,7,ptblend200-capd0-rgn1-supermode3,8379784151475158825,70933,8835,3,true,true,3337/2274/1355/1246/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,7,ptblend200-capd0-rgn1-supermode1,8379784151475158825,70933,8835,3,true,true,3337/2274/1355/1246/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,8,base,4485700701370197224,72146,8579,3,true,true,3337/2400/1222/1468/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,8,ptblend200,4485700701370197224,70994,8434,3,true,true,3296/2400/1173/1468/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,8,ptblend200-capd0-rgn1,4485700701370197224,70994,8434,3,true,true,3296/2400/1173/1468/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,8,ptblend200-capd0-rgn1-supermode3,4485700701370197224,70994,8434,3,true,true,3296/2400/1173/1468/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,8,ptblend200-capd0-rgn1-supermode1,4485700701370197224,71521,8453,3,true,true,3337/2400/1175/1468/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,9,base,17317124537825892903,73192,9082,3,true,true,3337/2400/1477/1416/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,9,ptblend200,17317124537825892903,74143,9258,3,true,true,3337/2400/1478/1472/2445,
